,address,lat,long,Cardiovascular: Electrophysiology,Thyroidectomy,Nuclear Medicine: Musculoskeletal,Central Line,Breast Reconstruction,Arthorcentesis,CT scan with contrast: Head and Neck,Radiation Treatment: Consult,Chemotherapy: Injection,Cardiovascular: Catheterization,Nuclear Medicine: Cardiovascular,Bone Study,X-ray: Chest,Ultrasound: Obstetrical,Hysterectomy,Cesarean Section without complications,Radiation Treatment: Dosimetry,Bowel Removal,Cataract,Cystoscopy Lithotripsy,Cardiovascular: Electrocardiography,Cardiovascular: Mobile Heart Monitoring,X-ray: Spine,Spinal laminectomy,Chemotherapy: IV infusion,CT scan: Abdomen/GI,Newborn care without complications,Spinal Tap,CT scan with contrast: Abdomen/GI,Nuclear Medicine: Endocrine,Radiation Treatment: Simulations & Film,MRI: Spine,PTCA,MRI with contrast: Extremities,MRI with contrast: Head and Neck,Radiation Treatment: IMRT,Coronary Bypass,Nuclear Medicine: GI,MRI with contrast: Abdomen/GI,Radiation Treatment: Devices,Gallbladder,Abdominal Drainage,Nerve Block,MRI with contrast: Spine,Newborn care with complications,Ultrasound,ORIF,MRI: Extremities,X-ray: Head and Neck,Mammography,Carpal Tunnel,Cardiovascular: Electrocardiography Stress Test,CT scan: Spine,Lesion Removal,Knee Replacement,Spinal injection,Knee Arthroscopy,CT scan with contrast: Chest,Hip Replacement,Spinal Fusion,Big Toe Surgery,Hernia Repair,Upper Endoscopy,Radiation Treatment: Delivery,X-ray: Extremities,CT scan: Extremities,X-ray: Abdomen/GI,Blood Transfusion,Mastectomy,Colonoscopy,CT scan: Head and Neck,Radiation Treatment: Guidance,MRI: Head and Neck,Cesarean Section with complications,Cardiovascular: Echocardiography,CT scan: Chest,Hysteroscopy,CVC Insertion,Breast Biopsy,Tonsillectomy
Tuality Healthcare,"335 SE 8th Ave, Hillsboro, OR 97123, USA",45.519743,-122.9785733,,,947,,,,,,154,,1616,260,143,357,10415,,,,4911,9602,181,,223,,189,748,9237,,1019,839,,853,37926,1065,1669,,,997,,,,,2201,,,432,,791,178,281,3920,,,,32593,,6450,720,,,,6999,2455,,166,354,166,,,2341,171,,905,,1184,342,4692,,1730,
Samaritan Albany General Hospital,"1046 6th Ave SW, Albany, OR 97321, USA",44.6315854,-123.1165903,,,,,,,1005,,162,,3186,426,257,619,14578,16385,,,4992,9240,202,680,302,,321,812,8843,,1475,,,1158,,2567,1927,,,1238,,,12751,,,,4655,468,,1158,,307,,486,,,,,8058,1002,,,,12075,3319,,225,,223,,,3185,476,,1160,20090,1273,477,7210,,,6262
Legacy Mount Hood Medical Center,"24800 SE Stark St, Gresham, OR 97030, USA",45.5168205,-122.4068833,,,1016,,,,,328,,,,307,186,419,12218,11402,985,,,10213,171,477,307,,,586,1888,,1062,,168,835,,,1387,1544,,,1387,891,12218,1474,,,10666,371,,835,,301,,469,,,22500,,7315,723,,,6421,10442,2822,593,186,551,186,,,2299,324,,835,15733,1273,343,6541,,3162,
Mercy Medical Center,"2700 NW Stewart Parkway Roseburg, OR 97471 Douglas County",43.2396541,-123.3755617,,,1152,,,1085,1286,,,11671,3406,400,273,470,11481,14053,,,4452,11605,198,931,310,,450,963,2997,,1774,908,,1767,42908,2239,2329,,,1409,2383,,13451,1430,,2355,4863,425,,1396,221,376,4469,584,1315,,42341,1311,9855,1439,40588,,9656,9398,3697,,258,922,251,,13270,3640,554,,1622,20596,1807,775,9217,7086,3298,4986
Legacy Silverton Medical Center,"342 Fairview St, Silverton, OR 97381, USA",45.0044776,-122.7899856,,,663,,,320,484,,,,2242,89,50,232,14791,12802,,,,,202,1058,71,,,350,7959,,642,,,731,,,1078,,,932,,,14671,,211,,2325,240,,507,64,266,7871,654,,,31437,,11729,487,31680,,11100,10656,3626,,71,388,39,,,3397,298,,892,16067,1419,403,8457,,2121,
PeaceHealth Sacred Heart Medical Center University District,"1255 Hilyard St, Eugene, OR 97401, USA",44.0464656,-123.0811413,,,,34743,,,,,,,,,,,28129,,,41099,,,,,,,302,,,21910,,,,,36720,,,,111108,,,,,,,,,,33550,,,,,,,,44406,,,,46003,61662,,24836,22150,,,,,,,23142,,,,25287,,,,,,
Providence Newberg Medical Center,"1001 Providence Dr, Newberg, OR 97132, USA",45.307976,-122.9363622,,,504,,18993,,601,,,4521,1247,81,41,187,13738,15855,,41672,8147,9073,186,426,68,,,269,9400,,564,813,,351,,850,579,,,936,847,,10905,,,,3276,201,,386,57,221,5130,283,273,6118,29406,,7051,436,,,8083,8099,2989,,58,292,58,,,3190,312,,356,15595,1423,292,8054,,3163,6886
Providence Willamette Falls Medical Ctr,"1500 Division St, Oregon City, OR 97045, USA",45.3564469,-122.5874636,,,633,,,693,502,,,,1120,69,40,235,13069,13279,,,5825,,221,362,59,11434,,230,1534,,492,690,,346,,709,679,,,736,,,7811,,1205,721,3473,195,24340,331,84,167,4501,321,242,,37117,,5459,315,37117,48098,5048,5629,,,60,250,49,,,1000,239,,304,18417,1354,242,4900,,3045,5253
St Charles Redmond,"1253 NW Canal Blvd, Redmond, OR 97756, USA",44.2888474,-121.1698893,,,,,,,,,,,,,256,319,11179,,,,,,220,,292,,,,3734,,,,,,,,,,,,,,11395,,,,,509,32520,,,,,,,,,,8439,,,,,11125,3580,,251,,251,,,3472,,,,,870,,11439,,,
St Charles Bend,"2500 NE Neff Rd, Bend, OR 97701, USA",44.0678857,-121.2694555,57677,15210,,31347,16151,,,469,,10813,,,254,343,15670,16629,1273,40422,6641,13812,205,,392,12547,549,,3020,20404,,,602,1902,49495,,3509,1804,104532,,,918,9365,1460,,,3987,466,26930,,,,5850,895,,3957,33991,1842,8274,,33348,67336,,10633,3506,604,242,,410,26753,9638,3456,,673,,23027,910,,9653,7937,,5325
Sky Lakes Medical Center,"2865 Daggett Ave, Klamath Falls, OR 97601, USA",42.2530758,-121.7851294,,,1372,,,,1553,561,222,13623,4181,324,303,561,18802,15996,1380,,,,214,481,375,,749,1237,2080,,2241,,212,1763,,,2928,1573,,1774,2928,1027,15731,,1247,,3655,644,,1763,292,300,2000,790,,,40009,,6468,1676,42426,,,10699,2653,563,292,1355,267,,,2707,689,,2332,20860,2054,725,6898,,5034,7745
Salem Hospital,"B, 665 Winter St SE, Salem, OR 97301, USA",44.9331916,-123.0356963,51996,6533,995,16938,13373,549,1026,123,,6561,1672,188,152,239,10001,6507,1136,29271,,8107,142,504,175,15714,,824,5103,,1531,762,322,1151,17498,1658,2010,559,72577,672,1880,809,9632,8918,,2069,2648,316,21892,917,117,199,,492,497,4967,30842,1907,4702,1531,33762,38414,8248,8729,2709,215,138,576,105,,10311,,497,,1038,8867,891,495,6219,7409,3128,
Saint Alphonsus Medical Center - Ontario,"351 SW 9th St, Ontario, OR 97914, USA",44.0252494,-116.9768912,,,,,,,,,,,4842,339,162,297,19260,,,,,,260,,285,,622,,1773,,3592,,,1716,,,,,,1099,,,12360,,,,,424,,1669,,277,,,,,,,9430,1765,,,,9762,3083,,163,,216,,,1716,1098,,,,1780,,,,,4937
Santiam Memorial Hospital,"1401 N 10th Ave, Stayton, OR 97383, USA",44.804934,-122.785047,,,,,,,1431,,,,3255,478,205,430,,,,,,,153,251,256,,,2365,9623,,2365,,,1682,,1613,3156,,,1175,,,12211,,,,,348,,971,,419,,,,,,,,1476,,,,8583,2606,,178,,176,,,2289,924,,1658,,1434,1221,,,,
Adventist Health Portland,"10123 SE Market St, Portland, OR 97216, USA",45.513095,-122.558391,38336,,,,,630,666,302,,6944,3020,283,166,423,11146,9543,821,,,9245,174,338,214,10630,645,533,6686,,947,936,469,770,56024,1278,1278,,,921,1278,821,,,,,3056,418,,745,,277,,572,,,25443,,6478,666,25443,43251,7810,7350,2245,547,168,306,166,,,2947,273,,770,13986,1173,316,5197,4212,2899,
Providence Portland Medical Center,"4805 NE Glisan St, Portland, OR 97213, USA",45.5271641,-122.6128674,,11241,432,30706,5300,629,397,135,174,4372,1156,68,35,160,20745,13372,227,36330,5494,7734,184,361,53,10833,345,229,8021,,492,720,353,309,36149,706,495,2096,,811,724,259,6985,,1240,721,9051,171,29378,330,42,162,3726,282,242,3950,34379,1317,5407,492,36261,50606,5047,6649,3155,426,49,227,42,20522,5459,14137,238,622,548,18776,1290,249,4921,5407,3079,5276
Willamette Valley Medical Center,"2700 SE Stratus Ave, McMinnville, OR 97128, USA",45.19894,-123.1646975,,,1453,,,1775,1124,321,,7428,,293,177,488,19489,15614,1327,,5087,9889,163,391,293,,,622,2101,,1126,,850,821,,1371,1324,1473,,969,1667,850,11659,,,,11409,448,,886,,329,,,,,34346,,8640,690,34346,,,11659,3214,566,177,528,177,,,2194,334,,804,18258,1215,352,5866,5729,2982,
Providence Medford Medical Center,"1111 Crater Lake Ave, Medford, OR 97504, USA",42.3395579,-122.8626204,,,1102,,,920,820,473,,6042,3132,349,230,398,16447,14154,1487,,,12775,185,447,277,17199,457,1236,1534,,1307,,231,,,,,2408,,1399,,1010,13848,,2316,,11113,324,,,,233,,603,462,,31283,1660,,1096,30808,67848,,9042,2580,672,192,1118,188,,13913,2605,677,,,,1443,460,8300,9097,3260,
Providence Milwaukie Hospital,"10150 SE 32nd Ave, Milwaukie, OR 97222, USA",45.4492796,-122.6274783,,,514,,,727,314,,,,1654,69,35,163,14784,,,,5670,,221,386,55,,,230,,,483,,,461,,,495,,,754,869,,7195,,1217,721,,195,,330,57,163,,282,343,,36101,1261,5022,460,34159,,5695,6772,2896,,47,250,42,,,1000,257,,366,,1416,233,,,3559,5459
Legacy Meridian Park Medical Center,"19300 SW 65th Ave, Tualatin, OR 97062, USA",45.3789021,-122.7413404,,,1016,,14263,678,723,,,7784,2774,307,186,338,13937,10735,,31232,,10363,157,278,218,11680,,586,2506,,1062,1093,,835,42439,,1387,,,1016,1754,,10730,1474,1680,,10325,371,,835,,301,,471,565,4869,22500,,7486,738,22500,30560,6531,8432,3187,,186,343,168,,,2299,343,,835,16411,1128,343,5946,6862,2876,4937
Bay Area Hospital,"1775 Thompson Rd, Coos Bay, OR 97420, USA",43.383601,-124.2329897,,,,,,,,,,,,,,,18264,14195,,,,,,,,,,,3631,,,,,,43620,,,,,,,,,,,,6371,,46229,,,,,,,,37595,,,,,,,,,,,,,,,,,,,20088,,,,,,
Kaiser Sunnyside Medical Center,"10180 SE Sunnyside Rd, Clackamas, OR 97015, USA",45.4318904,-122.5595408,15994,12764,913,20980,13127,646,700,,,5034,1839,122,116,314,20861,11315,,39427,,5920,46,,116,11614,341,473,5721,,925,1021,,624,32930,1605,1106,,75848,1762,1600,,10172,13456,,1596,11605,312,24413,707,77,500,,359,531,,,1124,,925,,61383,,4150,2001,,100,543,265,20079,14128,,393,,658,17683,1119,524,,3533,1661,
PeaceHealth Sacred Heart Medical Center at RiverBend,"3333 Riverbend Dr, Springfield, OR 97477, USA",44.0826431,-123.0279477,38063,15561,1294,,,,,,,9914,4311,,232,,21684,17675,,,,13198,222,366,,16338,,,2579,,,1294,,,,,,,,1294,,,13410,1586,3063,,16595,455,,,,,,567,,6655,,,,,,,,9479,2899,,,,,,,1735,,,,,1531,,7465,5707,,6485
Kaiser Westside Medical Center,"2875 NE Stucki Ave, Hillsboro, OR 97124, USA",45.5397055,-122.8766317,,12733,914,25246,20482,638,700,,,,1776,88,71,375,14430,11315,,39428,,7864,36,,99,,,474,1084,,925,1194,,624,,1529,1106,,,1763,1600,,9340,1929,,1596,20072,313,25081,708,81,501,,286,531,4936,32172,669,7308,703,32172,,,6486,1182,,102,543,60,18909,12020,1281,393,,658,17684,,545,4862,1567,1944,4403
PeaceHealth Cottage Grove Community Medical Center,"1515 Village Dr, Cottage Grove, OR 97424, USA",43.8036697,-123.039668,,,,,,,,,,,,,227,,,,,,,,,,227,,,,,,2625,,,,,,,,,,,,,,,,,522,,,,304,,,,,,,,,,,,,,,227,,228,,,,,,,,1607,,,,,
Samaritan North Lincoln Hospital,"3043 NE 28th St, Lincoln City, OR 97367, USA",44.986076,-123.995523,,,,,,,,,,,3169,442,252,369,,,,,,,198,698,350,,314,,7968,,3437,,,1718,,,2958,,,1671,,,,,,,,527,,1609,,300,,,,,,,,,,,,,3438,,220,,336,,,3177,1170,,,,1209,,,,,
Providence Seaside Hospital,"725 S Wahanna Rd, Seaside, OR 97138, USA",45.9889888,-123.9116566,,,,,,,1808,,,,,158,214,599,,,,,,,35,412,257,,530,1389,9076,,2093,,,2086,,,1334,,,,,,,,,,,451,,1154,,430,,,,,,,8941,1998,,,,12884,4045,,153,,206,,,4155,,,,,1613,,,,,
Southern Coos Hospital & Health Center,"900 11th St SE, Bandon, OR 97411, USA",43.1132645,-124.4025646,,,,,,,,,,,,,155,,,,,,,,171,,245,,,,,,2629,,,1819,,,,,,,,,,,,,,398,,,,124,,,,,,,,,,,,,,,239,,,,,2093,,,,,,,,,,
Blue Mountain Hospital,"170 Ford Rd, John Day, OR 97845, USA",44.417314,-118.9600019,,,,,,,,,,,,,232,360,,,,,,,205,968,333,,,,,,,,,2013,,,,,,,,,,,,,,419,,1525,,250,,,,,,,,,,,,,,,223,,,,,4097,,,,,1295,,,,,
Wallowa Memorial Hospital,"601 Medical Pkwy, Enterprise, OR 97828, USA",45.4322159,-117.284224,,,,,,,1515,,,,,438,221,378,,,,,,,,,241,,436,2333,,,2572,,,2284,,,2744,,,,,,,,,,,412,,2135,,252,,,,,,,,,,,,,,,221,,,,,2974,1107,,,,1616,1374,,,,
Harney District Hospital,"557 W Washington St, Burns, OR 97720, USA",43.5882498,-119.0606027,,,,,,,,,,,,,218,388,,,,,,,140,,375,,418,,,,2575,,,2025,,,2770,,,,,,,,,,,424,,1989,,211,,,,,,,,,,,,,3198,,218,,366,,,3202,988,,,,1264,,,,,
Salem Health West Valley,"525 SE Washington St, Dallas, OR 97338, USA",44.9185601,-123.3103965,,,,,,,,,,,,328,223,264,,,,,,,135,,176,,,2340,,,2584,,,1151,,,,,,,,,13333,,,,,359,,917,,348,,,,,,,,,,,,7699,3328,,158,,93,,12044,2755,373,,837,,,683,,,,
Lake District Hospital,"700 S J St, Lakeview, OR 97630, USA",42.1813344,-120.3521848,,,,,,,,,,,,,275,378,,,,,,,200,,278,,,,,,3090,,,1743,,,,,,,,,,,,,,523,,1794,,268,,,,,,,,,,,,,,,242,,222,,,3137,,,,,1523,,,,,
Pioneer Memorial Hospital (H),"564 E Pioneer Drive Heppner, OR 97836 Morrow County",45.3561046,-119.5509317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Umpqua Hospital,"600 Ranch Rd, Reedsport, OR 97467, USA",43.6946046,-124.1362702,,,,,,,,,,,,,304,,,,,,,,298,,344,,,,,,,,,,,,,,,,,,,,,,,605,,1553,,282,,,,,,,,,,,,,,,255,,,,,4409,,,,,,,,,,
Coquille Valley Hospital,"940 E 5th St, Coquille, OR 97423, USA",43.1792364,-124.1798398,,,,,,,,,,,,,214,,,,,,,,97,660,252,,,,,,2704,,,1994,,,,,,,,,,,,,,489,,,,293,,,,,,,,,,,,,3370,,200,,205,,,3008,,,,,1673,,,,,
St Charles Prineville,"384 SE Combs Flat Rd, Prineville, OR 97754, USA",44.2981296,-120.8251526,,,,,,,,,,,,440,188,264,,,,,,,220,,337,,,,,,,,,2117,,,,,,,,,,,,,,498,,1789,,,,,,,,,,,,,,,3847,,256,,251,,,2547,953,,,,862,,,,,
Samaritan Pacific Communities Hospital,"930 SW Abbey St, Newport, OR 97365, USA",44.6293343,-124.0595393,,,,,,,1413,,115,,,447,252,416,,,,,4588,,198,692,294,,314,,9024,,3412,,,1709,,,2813,,,,,,,,,,,516,,1592,,300,,,1391,,,,,1752,,,,10863,3603,,225,,217,,,3473,1208,,1799,,1246,1364,,,,
Saint Alphonsus Medical Center - Baker City,"3325 Pocahontas Rd, Baker City, OR 97814, USA",44.794776,-117.8470877,,,,,,,,,,,,,227,550,,,,,,,255,,348,,576,,4827,,3398,,,2350,,,,,,,,,,,,,,435,,2126,,421,,,,,,,5981,,,,,,2943,,268,,,,,2666,,,,,,,,,,
PeaceHealth Peace Harbor Medical Center,"400 9th St, Florence, OR 97439, USA",43.9741413,-124.1185757,,,,,,,,,,,,638,168,394,,,,,5170,,,1170,179,,,,,,3037,,,2679,,,,,,,,,,,,,,395,,1298,,473,,,,,,,10700,1516,,,,,2131,,144,,141,,,2100,1268,,,,2110,,,,,
Tillamook Regional Medical Center,"1000 3rd St, Tillamook, OR 97141, USA",45.4565613,-123.8545494,,,,,,298,,,159,,3409,245,120,386,13124,,,,,,155,956,121,,498,1190,2111,,1819,,,1510,,,2465,,,,,,,,,,,390,,1518,,290,3433,661,,,,,,924,,,,8573,6466,,120,,120,,,3210,578,,1518,,1581,,,,,3424
Providence Hood River Memorial Hospital,"810 12th St, Hood River, OR 97031, USA",45.7048772,-121.5244749,,,,,,,1560,,,,3103,306,178,325,14138,14350,,,,,140,510,285,,470,1310,1534,,1903,,,1481,,,2312,,,1643,,,11870,,,,3575,452,,1246,,398,,279,,,32878,,7519,1284,,,,7563,3514,,201,1062,318,,,3305,962,,,,1409,930,7922,,3742,6070
St Anthony Hospital,"2801 St Anthony Way Pendleton, OR 97801 Umatilla County",45.648695,-118.812546,,,,,,1117,1810,,41,,4035,436,339,421,14473,,,,,,204,1024,430,,365,2003,2395,,2225,,,2552,,,3567,,,1737,,,12737,,758,,2435,585,,1280,,383,,520,1866,,33849,,6942,1980,,,,8604,2695,,349,,295,,,2579,1305,,2518,,2006,,6188,,2018,
Columbia Memorial Hospital,"2111 Exchange Street Astoria, OR 97103 Clatsop County",46.187946,-123.818577,,,,,,,,,281,,,421,227,481,,,,,,,277,629,318,,734,,9408,,3148,,,1644,,,2898,,,,,,,,,,,537,,1846,257,428,,276,,,,,,,,,,,2427,,278,,194,,,3352,,,,,1022,,6905,,,
Grande Ronde Hospital,"900 Sunset Dr, La Grande, OR 97850, USA",45.3196554,-118.1062556,,,,,,,1479,,179,,3771,387,283,362,14729,13471,,,6146,,190,404,328,,300,2381,2456,,2822,,,2188,,2232,3011,,,1087,2125,,,,,2243,2509,539,,2033,,326,,594,1279,,30267,,6930,1753,,,,6837,,,178,,214,,,2576,733,,2034,,1326,1355,,,3526,7236
Curry General Hospital,"94220 4th St, Gold Beach, OR 97444, USA",42.4113159,-124.4185069,,,,,,,,,,,2913,499,190,645,,,,,,,123,524,201,,,,,,3093,,,2210,,,,,,1720,,,,,,,,478,,1793,,443,,,,,,,,,,,,,,,181,,193,,,,,,,,1544,,,,,
Samaritan Lebanon Community Hospital,"525 Santiam Hwy SE, Lebanon, OR 97355, USA",44.5508699,-122.9070716,,,1068,,,,,,,,3236,456,257,447,,,,,4121,,202,713,298,,321,,3105,,3509,,,1677,,,,,,1201,,,,,,,,476,,,,307,,486,,,,,,1789,,,,10875,3293,,225,,223,,,3130,1209,,,,1273,1465,,,,
St Charles Madras,"470 NE A St, Madras, OR 97741, USA",44.638219,-121.1209109,,,,,,,,,,,,,279,327,,,,,,,,,299,,,,,,,,,2084,,,,,,,,,,,,,,509,,,,,,,,,,,,,,,,,,,242,,256,,,3574,,,,,870,,,,,
Good Shepherd Medical Center,"610 NW 11th Street Hermiston, OR 97838 Umatilla County",45.8318666,-119.3718712,,,,,,,,,,,,467,317,639,,,,,,,166,485,332,,465,1892,7345,,2662,,,2879,,,3551,,,,,,9895,,,,,658,,,,320,4355,,,,42205,,7145,,,,,8740,2085,,320,,314,,,2395,,,2699,,1913,,,,,4768
